
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:FB:B1:83, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, OPN, ,   , -85,        2,        0,   0.  0.  0.  0,   9, UCR-GUEST, 
58:F3:9C:F9:3A:53, 2019-04-27 23:11:44, 2019-04-27 23:11:44,  1,  54, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   9, UCR-GUEST, 
B8:27:EB:EF:BB:3F, 2019-04-27 23:11:45, 2019-04-27 23:11:53,  7,  54, WPA2, CCMP,PSK, -77,        6,        0,   0.  0.  0.  0,   7, RoboSub, 
58:F3:9C:F9:3A:52, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, WPA2, CCMP,PSK, -75,        3,        0,   0.  0.  0.  0,   1, \x00, 
58:F3:9C:F9:3A:51, 2019-04-27 23:11:44, 2019-04-27 23:11:44,  1,  54, WPA2, CCMP, MGT, -75,        1,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F9:3A:54, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, WPA2, CCMP,PSK, -74,        2,        0,   0.  0.  0.  0,   1, \x00, 
80:E0:1D:FC:68:30, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, WPA2, CCMP, MGT, -71,        3,        0,   0.  0.  0.  0,   6, ucrwpa, 
80:E0:1D:FC:68:34, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, WPA2, CCMP,PSK, -71,        4,        0,   0.  0.  0.  0,   1, \x00, 
80:E0:1D:FC:68:32, 2019-04-27 23:11:44, 2019-04-27 23:11:44,  1,  54, WPA2, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,   1, \x00, 
58:F3:9C:E4:95:33, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, OPN, ,   , -69,        3,        0,   0.  0.  0.  0,   9, UCR-GUEST, 
58:F3:9C:E4:95:31, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, WPA2, CCMP, MGT, -70,        2,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F0:F5:C3, 2019-04-27 23:11:44, 2019-04-27 23:11:52,  1,  54, OPN, ,   , -63,        4,        0,   0.  0.  0.  0,   9, UCR-GUEST, 
